Date,Open,High,Low,PX_Last
1/1/2014,1.3743,1.379,1.3738,1.3763
1/2/2014,1.3763,1.3775,1.363,1.3672
1/3/2014,1.3672,1.3673,1.3583,1.3589
1/6/2014,1.359,1.3653,1.3572,1.3629
1/7/2014,1.3629,1.3656,1.3597,1.3616
1/8/2014,1.3616,1.3635,1.3554,1.3576
1/9/2014,1.3576,1.3633,1.3549,1.3608
1/10/2014,1.3608,1.3687,1.3572,1.367
1/13/2014,1.3674,1.3685,1.3638,1.3671
1/14/2014,1.3671,1.3699,1.3649,1.3679
1/15/2014,1.3679,1.3681,1.3582,1.3605
1/16/2014,1.3605,1.365,1.3583,1.362
1/17/2014,1.362,1.3621,1.3517,1.3541
1/20/2014,1.3545,1.3568,1.3508,1.3552
1/21/2014,1.3552,1.3569,1.3517,1.3561
1/22/2014,1.3561,1.3583,1.3535,1.3547
1/23/2014,1.3547,1.3698,1.353,1.3696
1/24/2014,1.3696,1.3739,1.3663,1.3678
1/27/2014,1.3675,1.3717,1.3653,1.3673
1/28/2014,1.3673,1.3688,1.3629,1.3671
1/29/2014,1.3671,1.3685,1.3603,1.3663
1/30/2014,1.3663,1.3666,1.3544,1.3555
1/31/2014,1.3555,1.3573,1.3479,1.3486
2/3/2014,1.349,1.3536,1.3477,1.3525
2/4/2014,1.3525,1.3539,1.3494,1.3519
2/5/2014,1.3519,1.3555,1.3499,1.3533
2/6/2014,1.3533,1.3619,1.3484,1.359
2/7/2014,1.359,1.3642,1.3552,1.3635
2/10/2014,1.3634,1.3651,1.3609,1.3646
2/11/2014,1.3646,1.3683,1.363,1.3638
2/12/2014,1.3638,1.3653,1.3562,1.3593
2/13/2014,1.3593,1.3692,1.3585,1.3681
2/14/2014,1.3681,1.3715,1.3674,1.3693
2/17/2014,1.3688,1.3724,1.3688,1.3707
2/18/2014,1.3707,1.377,1.3695,1.3759
2/19/2014,1.3759,1.3773,1.3725,1.3733
2/20/2014,1.3733,1.3763,1.3686,1.3719
2/21/2014,1.3719,1.3759,1.3702,1.3746
2/24/2014,1.3733,1.3771,1.3709,1.3735
2/25/2014,1.3735,1.3767,1.3716,1.3745
2/26/2014,1.3745,1.3757,1.3662,1.3687
2/27/2014,1.3687,1.3727,1.3643,1.371
2/28/2014,1.371,1.3825,1.3694,1.3802
3/3/2014,1.3779,1.3793,1.3726,1.3735
3/4/2014,1.3735,1.3782,1.3721,1.3743
3/5/2014,1.3743,1.3748,1.3708,1.3733
3/6/2014,1.3733,1.3873,1.3721,1.3861
3/7/2014,1.3861,1.3915,1.3852,1.3875
3/10/2014,1.3877,1.3898,1.3862,1.3877
3/11/2014,1.3877,1.3879,1.3834,1.386
3/12/2014,1.386,1.3914,1.3844,1.3903
3/13/2014,1.3903,1.3967,1.3846,1.3868
3/14/2014,1.3868,1.3937,1.3848,1.3914
3/17/2014,1.3903,1.3948,1.3879,1.3922
3/18/2014,1.3922,1.3943,1.388,1.3934
3/19/2014,1.3934,1.3934,1.381,1.3833
3/20/2014,1.3833,1.3845,1.3749,1.3779
3/21/2014,1.3779,1.3811,1.3766,1.3794
3/24/2014,1.3792,1.3876,1.376,1.3839
3/25/2014,1.3839,1.3847,1.375,1.3826
3/26/2014,1.3826,1.3828,1.3777,1.3781
3/27/2014,1.3781,1.3797,1.3729,1.374
3/28/2014,1.374,1.3773,1.3705,1.3752
3/31/2014,1.3755,1.3809,1.3725,1.3769
4/1/2014,1.3769,1.3815,1.3769,1.3793
4/2/2014,1.3793,1.382,1.3753,1.3767
4/3/2014,1.3767,1.3805,1.3698,1.372
4/4/2014,1.372,1.3731,1.3673,1.3705
4/7/2014,1.3697,1.3749,1.3694,1.3742
4/8/2014,1.3742,1.3812,1.3737,1.3797
4/9/2014,1.3797,1.3862,1.378,1.3855
